Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,3383.0,0.0,5.0,2.0,7.0
Portugal,898.0,0.0,0.0,0.0,34.0
Spain,6947.0,0.0,13.0,2.0,0.0
United States,22620.0,0.0,4.0,41.0,11.0
Canada,1362.0,12.0,1.0,5.0,0.0
Sweden,177.0,0.0,0.0,0.0,0.0
Italy,813.0,0.0,18.0,19.0,4.0
France,3824.0,0.0,1.0,2.0,1.0
Belgium,744.0,0.0,2.0,1.0,0.0
Australia,129.0,0.0,2.0,9.0,0.0
Germany,3547.0,0.0,18.0,19.0,16.0
Netherlands,1195.0,0.0,0.0,1.0,0.0
Israel,246.0,0.0,3.0,5.0,0.0
Switzerland,490.0,0.0,0.0,3.0,0.0
Greece,67.0,0.0,2.0,2.0,0.0
Austria,292.0,0.0,2.0,1.0,0.0
Argentina,221.0,0.0,0.0,11.0,1.0
Denmark,183.0,0.0,0.0,3.0,1.0
Morocco,3.0,0.0,0.0,1.0,0.0
Slovenia,46.0,0.0,0.0,2.0,0.0
Scotland,92.0,0.0,1.0,1.0,0.0
Czech Republic,62.0,0.0,1.0,6.0,0.0
United Arab Emirates,16.0,0.0,0.0,1.0,0.0
Finland,33.0,0.0,0.0,3.0,0.0
Wales,46.0,0.0,0.0,0.0,0.0
Northern Ireland,31.0,0.0,0.0,0.0,0.0
Sudan,4.0,1.0,0.0,0.0,0.0
Bolivia,125.0,0.0,5.0,2.0,1.0
Iran,1.0,3.0,0.0,0.0,0.0
Ecuador,68.0,1.0,2.0,1.0,0.0
Malta,33.0,0.0,0.0,1.0,0.0
Ireland,173.0,0.0,0.0,0.0,0.0
Mexico,1051.0,0.0,0.0,3.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0
Thailand,7.0,0.0,4.0,4.0,0.0
Peru,1989.0,0.0,2.0,2.0,0.0
Brazil,6246.0,0.0,4.0,20.0,4.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,75.0,0.0,0.0,0.0,0.0
Norway,85.0,0.0,0.0,3.0,0.0
Paraguay,1.0,0.0,0.0,2.0,0.0
Costa Rica,3.0,2.0,1.0,3.0,0.0
Gibraltar,6.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,0.0,0.0,0.0,0.0
Uruguay,5.0,0.0,0.0,5.0,0.0
Latvia,4.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,11.0,0.0,0.0,0.0,0.0
Bahamas,2.0,0.0,0.0,1.0,0.0
Ghana,84.0,317.0,1.0,0.0,0.0
India,11.0,0.0,4.0,4.0,1.0
Iceland,12.0,0.0,0.0,1.0,0.0
Poland,160.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,3.0,0.0,0.0,3.0,0.0
Romania,37.0,0.0,7.0,0.0,0.0
Georgia,2.0,0.0,0.0,0.0,0.0
Slovakia,14.0,0.0,2.0,3.0,0.0
Luxembourg,55.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,575.0,0.0,2.0,2.0,0.0
Serbia,31.0,0.0,0.0,0.0,0.0
Lebanon,11.0,0.0,0.0,4.0,0.0
South Korea,2.0,0.0,2.0,1.0,0.0
Singapore,16.0,0.0,8.0,4.0,0.0
South Africa,5.0,0.0,0.0,3.0,2.0
Taiwan,4.0,0.0,1.0,3.0,0.0
Colombia,1260.0,0.0,0.0,3.0,0.0
Croatia,27.0,0.0,0.0,1.0,0.0
Bulgaria,6.0,0.0,1.0,3.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0
Benin,3.0,0.0,0.0,2.0,1.0
Estonia,11.0,0.0,0.0,1.0,0.0
Puerto Rico,158.0,0.0,0.0,6.0,0.0
Panama,12.0,0.0,0.0,3.0,0.0
Dominican Republic,21.0,0.0,5.0,1.0,0.0
Jamaica,12.0,0.0,0.0,2.0,4.0
New Zealand,5.0,0.0,0.0,4.0,0.0
Russia,2.0,0.0,1.0,2.0,0.0
Bosnia And Herzegovina,3.0,0.0,0.0,0.0,0.0
Saudi Arabia,8.0,0.0,1.0,3.0,0.0
Martinique,7.0,0.0,0.0,1.0,0.0
Barbados,1.0,0.0,0.0,0.0,0.0
Qatar,3.0,0.0,1.0,0.0,0.0
Bermuda,1.0,0.0,0.0,0.0,0.0
Japan,4.0,0.0,4.0,3.0,0.0
Guadeloupe,1.0,0.0,0.0,1.0,0.0
